date,home_team,away_team,home_shots,away_shots,home_sot,away_sot
2016-09-12,Empoli,Crotone,13,6,4,2
2016-09-16,Sampdoria,AC Milan,12,10,3,3
2016-09-17,Lazio,Pescara,23,10,11,3
2016-09-17,Napoli,Bologna,21,8,10,3
2016-09-18,Udinese,Chievo,8,20,4,6
2016-09-18,Sassuolo,Genoa,12,17,6,5
2016-09-18,Torino,Empoli,14,5,5,2
2016-09-18,Cagliari,Atalanta,13,7,9,2
2016-09-18,Crotone,Palermo,12,12,1,5
2016-09-18,Inter,Juventus,16,9,3,2
2016-09-18,Fiorentina,Roma,8,14,4,3
2016-09-20,AC Milan,Lazio,16,20,7,5
2016-09-21,Bologna,Sampdoria,11,10,4,3
2016-09-21,Chievo,Sassuolo,5,7,3,2
2016-09-21,Empoli,Inter,9,13,3,4
2016-09-21,Genoa,Napoli,12,14,5,3
2016-09-21,Juventus,Cagliari,28,3,13,0
2016-09-21,Pescara,Torino,19,11,4,3
2016-09-21,Roma,Crotone,20,11,7,3
2016-09-21,Udinese,Fiorentina,14,7,5,3
2016-09-21,Atalanta,Palermo,16,7,5,2
2016-09-24,Palermo,Juventus,5,14,2,6
2016-09-24,Napoli,Chievo,13,7,5,2
2016-09-25,Fiorentina,AC Milan,20,12,5,1
2016-09-25,Inter,Bologna,22,8,6,3
2016-09-25,Lazio,Empoli,12,9,3,3
2016-09-25,Sassuolo,Udinese,12,12,5,3
2016-09-25,Torino,Roma,18,22,8,6
2016-09-25,Genoa,Pescara,8,11,3,4
2016-09-26,Crotone,Atalanta,12,12,3,7
2016-09-26,Cagliari,Sampdoria,9,18,3,2
2016-10-01,Pescara,Chievo,11,15,2,4
2016-10-01,Udinese,Lazio,15,15,3,5
2016-10-02,AC Milan,Sassuolo,15,7,6,5
2016-10-02,Torino,Fiorentina,19,13,5,5
2016-10-02,Cagliari,Crotone,15,23,9,8
2016-10-02,Roma,Inter,19,19,7,5
2016-10-02,Atalanta,Napoli,10,13,4,3
2016-10-02,Sampdoria,Palermo,23,4,7,2
2016-10-02,Empoli,Juventus,6,26,3,10
2016-10-02,Bologna,Genoa,6,13,3,4
2016-10-15,Napoli,Roma,21,14,5,6
2016-10-15,Pescara,Sampdoria,11,22,7,8
2016-10-15,Juventus,Udinese,15,8,5,4
2016-10-16,Chievo,AC Milan,9,16,5,5
2016-10-16,Sassuolo,Crotone,22,8,9,1
2016-10-16,Lazio,Bologna,27,10,8,4
2016-10-16,Inter,Cagliari,18,11,4,6
2016-10-16,Fiorentina,Atalanta,17,13,5,3
2016-10-16,Genoa,Empoli,8,2,3,1
2016-10-17,Palermo,Torino,16,15,3,7
2016-10-22,Sampdoria,Genoa,14,11,7,5
2016-10-22,AC Milan,Juventus,8,22,2,3
2016-10-23,Roma,Palermo,18,8,7,3
2016-10-23,Bologna,Sassuolo,14,8,4,3
2016-10-23,Empoli,Chievo,8,13,3,2
2016-10-23,Atalanta,Inter,11,7,8,4
2016-10-23,Cagliari,Fiorentina,10,19,5,8
2016-10-23,Torino,Lazio,16,14,4,6
2016-10-23,Udinese,Pescara,9,16,4,3
2016-10-23,Crotone,Napoli,12,13,4,7
2016-10-25,Genoa,AC Milan,8,14,3,3
2016-10-26,Sassuolo,Roma,16,16,3,4
2016-10-26,Pescara,Atalanta,5,13,0,3
2016-10-26,Fiorentina,Crotone,26,4,11,2
2016-10-26,Chievo,Bologna,10,9,3,4
2016-10-26,Lazio,Cagliari,20,15,12,5
2016-10-26,Juventus,Sampdoria,13,8,7,3
2016-10-26,Inter,Torino,21,7,5,2
2016-10-26,Napoli,Empoli,36,8,10,2
2016-10-27,Palermo,Udinese,11,11,2,7
2016-10-29,Bologna,Fiorentina,5,12,2,5
2016-10-29,Juventus,Napoli,10,12,2,2
2016-10-30,Sampdoria,Inter,9,14,3,3
2016-10-30,Empoli,Roma,8,23,3,5
2016-10-30,Crotone,Chievo,9,17,7,3
2016-10-30,Lazio,Sassuolo,14,14,6,5
2016-10-30,Atalanta,Genoa,15,10,9,2
2016-10-30,AC Milan,Pescara,19,15,9,6
2016-10-31,Udinese,Torino,16,13,5,3
2016-11-01,Cagliari,Palermo,8,12,4,3
2016-11-05,Torino,Cagliari,23,9,9,6
2016-11-05,Napoli,Lazio,18,7,8,3
2016-11-06,Roma,Bologna,22,13,8,5
2016-11-06,Pescara,Empoli,23,9,6,6
2016-11-06,Palermo,AC Milan,15,12,7,6
2016-11-06,Chievo,Juventus,9,17,2,6
2016-11-06,Genoa,Udinese,17,10,4,3
2016-11-06,Sassuolo,Atalanta,15,15,3,8
2016-11-06,Inter,Crotone,25,4,9,0
2016-11-06,Fiorentina,Sampdoria,21,17,5,6
2016-11-19,Chievo,Cagliari,12,10,2,2
